#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxyGd2O3_09_01
#MaterialDensity [g/cm3]: 1.8027
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 7.62493
#NAtomsPerVolume [1/cm3]: 1.42377e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 70.2363
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 59024.3096239
1.02329299228e-09 58924.5521865
1.03514216668e-09 58036.3438
1.04712854805e-09 58772.1888748
1.05925372518e-09 57923.7856852
1.07151930524e-09 57146.5926706
1.08392691402e-09 58087.0287308
1.09647819614e-09 57648.8139231
1.10917481526e-09 56338.9791945
1.1220184543e-09 57628.935706
1.13501081567e-09 54883.6341176
1.1481536215e-09 56088.6484298
1.16144861384e-09 56805.508184
1.17489755494e-09 55572.7260704
1.18850222744e-09 55271.9583289
1.20226443462e-09 54324.1818141
1.21618600065e-09 54928.1095588
1.23026877081e-09 53633.0069888
1.24451461177e-09 53761.4446093
1.25892541179e-09 52612.5853303
1.27350308102e-09 53015.1897563
1.28824955169e-09 53144.5171233
1.30316677845e-09 52296.5380532
1.31825673856e-09 52664.0754422
1.33352143216e-09 52160.1510965
1.34896288259e-09 51769.1948363
1.36458313659e-09 51433.9120981
1.3803842646e-09 51839.1730479
1.39636836106e-09 50549.2822153
1.41253754462e-09 50420.1555671
1.42889395851e-09 50151.6303892
1.44543977075e-09 50148.789332
1.46217717446e-09 49432.6639167
1.47910838817e-09 48662.5825882
1.49623565609e-09 48865.0716458
1.51356124844e-09 48504.1022772
1.53108746168e-09 48902.3587209
1.54881661891e-09 48729.5708601
1.56675107011e-09 48285.6413954
1.58489319246e-09 48083.5893279
1.60324539069e-09 46608.2508034
1.62181009736e-09 47677.4405804
1.6405897732e-09 47305.0054789
1.65958690744e-09 46646.7882615
1.67880401812e-09 45367.3982118
1.69824365246e-09 46274.6364329
1.71790838716e-09 45653.7862597
1.73780082875e-09 45586.5242444
1.75792361396e-09 45595.2862992
1.77827941004e-09 45299.9334505
1.79887091513e-09 44549.0794833
1.81970085861e-09 44115.6411638
1.84077200147e-09 44260.8650591
1.86208713666e-09 43478.9251207
1.88364908949e-09 43301.7217175
1.90546071796e-09 42696.6519194
1.92752491319e-09 43344.5185048
1.94984459976e-09 42713.4913841
1.97242273612e-09 42036.4466125
1.99526231497e-09 41945.0179317
2.01836636368e-09 42443.7178751
2.04173794467e-09 42122.6018714
2.06538015581e-09 41621.1301335
2.08929613085e-09 41950.5049956
2.11348903984e-09 41320.1761139
2.1379620895e-09 41222.6045493
2.16271852373e-09 40216.9722402
2.18776162395e-09 40336.2430749
2.21309470961e-09 40236.1029764
2.23872113857e-09 40245.9107607
2.26464430759e-09 39904.0077519
2.29086765277e-09 39394.2341076
2.31739464997e-09 39636.7597483
2.34422881532e-09 39622.12753
2.37137370566e-09 38854.4265383
2.39883291902e-09 38175.322081
2.42661009508e-09 38498.3815077
2.45470891569e-09 38160.320126
2.4831331053e-09 38475.5915409
2.51188643151e-09 37681.9349343
2.54097270555e-09 37506.1781384
2.57039578277e-09 36802.0267254
2.60015956317e-09 37134.9227351
2.6302679919e-09 37346.1515302
2.6607250598e-09 36647.0324348
2.69153480393e-09 36287.5550271
2.72270130808e-09 36343.6879564
2.75422870334e-09 35790.0917363
2.78612116863e-09 36080.6063591
2.81838293126e-09 35737.8533839
2.8510182675e-09 35448.8972513
2.88403150313e-09 35365.4603269
2.917427014e-09 34332.1173104
2.95120922667e-09 34408.8666964
2.98538261892e-09 34229.5629313
3.0199517204e-09 34530.192692
3.05492111322e-09 33804.2692247
3.09029543251e-09 34555.0724306
3.12607936712e-09 33338.6466311
3.16227766017e-09 33561.6019158
3.19889510969e-09 33412.4694859
3.2359365693e-09 33829.5459281
3.27340694879e-09 33011.8330168
3.31131121483e-09 32847.0576095
3.34965439158e-09 33257.7975269
3.38844156139e-09 32740.1235993
3.42767786547e-09 32104.1480125
3.46736850453e-09 32212.6561406
3.50751873953e-09 32355.8045194
3.54813389234e-09 31730.6848301
3.58921934645e-09 31489.4198968
3.6307805477e-09 31242.2777996
3.67282300498e-09 31674.7792544
3.71535229097e-09 31095.055496
3.75837404289e-09 30614.9309693
3.80189396321e-09 30725.7922143
3.84591782045e-09 30522.0711712
3.89045144994e-09 30449.2814271
3.93550075456e-09 30136.2846549
3.98107170554e-09 30024.4018275
4.02717034326e-09 29743.6456215
