#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: NCrystal:cfg=Al_sg225.ncmat
#MaterialDensity [g/cm3]: 2.69865
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 26.9815
#NAtomsPerVolume [1/cm3]: 6.02325e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 166.023
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
870963.589956 9.61468387918e-05
881048.873008 0.00166307001362
891250.938134 0.00718785765726
901571.137606 0.0119363617058
912010.839356 0.0157732198535
922571.427155 0.0195488997544
933254.300797 0.0233635507884
944060.876286 0.027219798073
954992.586021 0.0311191654677
966050.87899 0.0350638209748
977237.220956 0.0390518109409
988553.094657 0.0430869107054
1000000 0.0471637625426
1011579.45426 0.0501594401156
1023292.99228 0.0522499435133
1035142.16668 0.0543637508904
1047128.54805 0.0565136950933
1059253.72518 0.0624590251076
1071519.30524 0.071696705406
1083926.91402 0.0810388979667
1096478.19614 0.0904892034661
1109174.81526 0.100049173214
1122018.4543 0.109713234625
1135010.81567 0.119490029615
1148153.6215 0.129381867481
1161448.61384 0.139384077924
1174897.55494 0.14950159237
1188502.22744 0.159741141866
1202264.43462 0.170096012044
1216186.00065 0.18056829966
1230268.77081 0.191165341732
1244514.61177 0.201883852127
1258925.41179 0.211974990171
1273503.08102 0.217289648347
1288249.55169 0.221786642381
1303166.77845 0.226335757009
1318256.73856 0.230939059159
1333521.43216 0.235595288703
1348962.88259 0.240304547029
1364583.13659 0.245069598598
1380384.2646 0.249888282563
1396368.36106 0.254763720623
1412537.54462 0.259694579069
1428893.95851 0.26468578615
1445439.77075 0.269731292769
1462177.17446 0.274834934409
1479108.38817 0.280000290266
1496235.65609 0.285224793817
1513561.24844 0.2905084605
1531087.46168 0.295507268604
1548816.61891 0.297844490945
1566751.07011 0.299635263403
1584893.19246 0.301446563241
1603245.39069 0.303279323086
1621810.09736 0.305133073115
1640589.7732 0.307008139481
1659586.90744 0.308905079842
1678804.01812 0.310823697656
1698243.65246 0.312765575983
1717908.38716 0.314728737715
1737800.82875 0.316715306339
1757923.61396 0.318723945339
1778279.41004 0.320756283596
1798870.91513 0.322812610617
1819700.85861 0.32489288655
1840772.00147 0.326995502806
1862087.13666 0.328246132255
1883649.08949 0.328739993914
1905460.71796 0.329239369625
1927524.91319 0.329744521154
1949844.59976 0.330255762487
1972422.73611 0.330772381663
1995262.31497 0.331295130149
2018366.36368 0.331823924597
2041737.94467 0.332359612135
2065380.15581 0.332900526024
2089296.13085 0.33344814622
2113489.03984 0.334002100625
2137962.0895 0.334562455416
