#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: epoxyGd2O3_35_65
#MaterialDensity [g/cm3]: 2.59857
#MaterialTemperature [K]: 293.15
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 16.8261
#NAtomsPerVolume [1/cm3]: 9.3004e+22
#ConvertXSectBarnToMeanFreePathMilliMeter: 107.522
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: hadElastic
1.01157945426e-09 54308.1041631
1.02329299228e-09 54250.1036322
1.03514216668e-09 53520.4351093
1.04712854805e-09 54149.8207037
1.05925372518e-09 53315.9256518
1.07151930524e-09 52619.1226897
1.08392691402e-09 53429.2873225
1.09647819614e-09 53009.7661939
1.10917481526e-09 51916.1667884
1.1220184543e-09 52973.1997484
1.13501081567e-09 50552.2823061
1.1481536215e-09 51562.3561431
1.16144861384e-09 52193.256629
1.17489755494e-09 51142.2525991
1.18850222744e-09 50853.9600153
1.20226443462e-09 50008.5412763
1.21618600065e-09 50496.6365474
1.23026877081e-09 49368.0859382
1.24451461177e-09 49479.9636383
1.25892541179e-09 48464.0226136
1.27350308102e-09 48851.2932317
1.28824955169e-09 48891.9896664
1.30316677845e-09 48144.8838835
1.31825673856e-09 48443.4712545
1.33352143216e-09 47974.9027339
1.34896288259e-09 47639.7239772
1.36458313659e-09 47297.8292139
1.3803842646e-09 47665.3136583
1.39636836106e-09 46548.0670941
1.41253754462e-09 46442.6027464
1.42889395851e-09 46182.798108
1.44543977075e-09 46131.3227182
1.46217717446e-09 45498.5718041
1.47910838817e-09 44822.224782
1.49623565609e-09 44990.6431498
1.51356124844e-09 44652.2324361
1.53108746168e-09 44990.4868639
1.54881661891e-09 44801.8849419
1.56675107011e-09 44384.0869612
1.58489319246e-09 44199.8364452
1.60324539069e-09 42961.3218776
1.62181009736e-09 43798.4227696
1.6405897732e-09 43548.6586183
1.65958690744e-09 42922.6013602
1.67880401812e-09 41795.6452773
1.69824365246e-09 42590.2300158
1.71790838716e-09 42042.7560467
1.73780082875e-09 41938.638469
1.75792361396e-09 41959.0270981
1.77827941004e-09 41656.1641424
1.79887091513e-09 41033.9176368
1.81970085861e-09 40607.7137003
1.84077200147e-09 40737.0304637
1.86208713666e-09 40050.5282407
1.88364908949e-09 39855.1796075
1.90546071796e-09 39326.9732862
1.92752491319e-09 39879.2671086
1.94984459976e-09 39365.7314057
1.97242273612e-09 38755.6248097
1.99526231497e-09 38655.0327958
2.01836636368e-09 39056.8912506
2.04173794467e-09 38782.9568247
2.06538015581e-09 38316.5113794
2.08929613085e-09 38585.875879
2.11348903984e-09 38030.2807008
2.1379620895e-09 37943.6652621
2.16271852373e-09 37010.2494594
