#FileType: Geant4 XSECTSPY DATA
#PhysicsList: QGSP_BIC_HP_EMZ
#ParticleName: neutron
#ParticleCode: 2112
#ParticleMass[MeV/c^2]: 939.565
#ParticleCharge: 0.000000
#Material: boral_67_33
#MaterialDensity [g/cm3]: 2.56857
#MaterialTemperature [K]: -1
#MaterialPressure [bar]: 1.01325
#MaterialAverageAtomicWeight [amu]: 13.7252
#NAtomsPerVolume [1/cm3]: 1.127e+23
#ConvertXSectBarnToMeanFreePathMilliMeter: 88.7311
#EnergyUnit: eV
#XSectUnit: barn
#Process 0: neutronInelastic
1.01157945426e-09 2574419.65471
1.02329299228e-09 2563075.32756
1.03514216668e-09 2548423.84095
1.04712854805e-09 2534266.54393
1.05925372518e-09 2519220.22574
1.07151930524e-09 2504311.91064
1.08392691402e-09 2490436.0175
1.09647819614e-09 2476120.7588
1.10917481526e-09 2462268.5355
1.1220184543e-09 2449044.14466
1.13501081567e-09 2433996.41828
1.1481536215e-09 2420197.70121
1.16144861384e-09 2405761.36795
1.17489755494e-09 2392310.94534
1.18850222744e-09 2378263.95624
1.20226443462e-09 2365075.07625
1.21618600065e-09 2352273.20446
1.23026877081e-09 2337661.32532
1.24451461177e-09 2324353.49196
1.25892541179e-09 2310941.64882
1.27350308102e-09 2298421.04904
1.28824955169e-09 2284492.49327
1.30316677845e-09 2270750.20297
1.31825673856e-09 2259063.82909
1.33352143216e-09 2245775.27072
1.34896288259e-09 2232447.69099
1.36458313659e-09 2220267.52354
1.3803842646e-09 2206824.70813
1.39636836106e-09 2194750.63318
1.41253754462e-09 2181127.55246
1.42889395851e-09 2170024.95247
1.44543977075e-09 2156779.99031
1.46217717446e-09 2144353.77323
1.47910838817e-09 2131371.51775
1.49623565609e-09 2119860.4304
1.51356124844e-09 2106999.98676
1.53108746168e-09 2096315.4783
1.54881661891e-09 2083585.11288
1.56675107011e-09 2071928.60826
1.58489319246e-09 2059759.13096
1.60324539069e-09 2048191.58269
1.62181009736e-09 2036377.16955
1.6405897732e-09 2024203.61263
1.65958690744e-09 2012552.35376
1.67880401812e-09 2000761.07806
1.69824365246e-09 1989726.00233
1.71790838716e-09 1977974.89821
1.73780082875e-09 1966945.51511
1.75792361396e-09 1955214.59276
1.77827941004e-09 1945137.00802
1.79887091513e-09 1934160.30285
1.81970085861e-09 1922557.30033
1.84077200147e-09 1910961.55315
1.86208713666e-09 1900515.8948
1.88364908949e-09 1888284.08196
1.90546071796e-09 1879228.90727
1.92752491319e-09 1866793.23626
1.94984459976e-09 1857020.77759
1.97242273612e-09 1846270.15796
1.99526231497e-09 1836223.23306
2.01836636368e-09 1825364.98537
2.04173794467e-09 1814197.06069
2.06538015581e-09 1804121.1941
2.08929613085e-09 1793737.28305
2.11348903984e-09 1783265.55871
2.1379620895e-09 1772854.9134
2.16271852373e-09 1763214.48086
2.18776162395e-09 1753353.7202
2.21309470961e-09 1743558.11325
2.23872113857e-09 1732984.06541
2.26464430759e-09 1722455.45004
2.29086765277e-09 1713194.0981
2.31739464997e-09 1703230.34877
2.34422881532e-09 1693517.43893
2.37137370566e-09 1683624.03207
2.39883291902e-09 1673986.48044
2.42661009508e-09 1664417.60032
2.45470891569e-09 1655441.50716
2.4831331053e-09 1644999.5642
2.51188643151e-09 1636435.3974
2.54097270555e-09 1626234.79213
2.57039578277e-09 1617273.21777
2.60015956317e-09 1607708.45958
2.6302679919e-09 1598354.63245
2.6607250598e-09 1589432.78542
2.69153480393e-09 1580536.05497
2.72270130808e-09 1571315.25956
2.75422870334e-09 1562123.12229
2.78612116863e-09 1553448.06267
2.81838293126e-09 1544276.45654
2.8510182675e-09 1535703.39231
2.88403150313e-09 1527024.91492
2.917427014e-09 1518283.82395
2.95120922667e-09 1509517.09177
2.98538261892e-09 1500850.86636
3.0199517204e-09 1491965.77452
3.05492111322e-09 1483672.2957
3.09029543251e-09 1474682.58034
3.12607936712e-09 1466387.02131
3.16227766017e-09 1458082.49989
3.19889510969e-09 1449916.51598
3.2359365693e-09 1441213.77915
3.27340694879e-09 1432979.77724
3.31131121483e-09 1424697.68984
3.34965439158e-09 1416897.63529
3.38844156139e-09 1408499.93475
3.42767786547e-09 1400871.52578
3.46736850453e-09 1393163.66352
3.50751873953e-09 1384449.36627
3.54813389234e-09 1376813.04458
3.58921934645e-09 1368671.17534
3.6307805477e-09 1360957.38721
3.67282300498e-09 1353074.15626
3.71535229097e-09 1345264.97452
3.75837404289e-09 1337916.40982
3.80189396321e-09 1329891.12361
3.84591782045e-09 1322838.19451
3.89045144994e-09 1314871.57893
3.93550075456e-09 1307024.78361
3.98107170554e-09 1299239.79737
4.02717034326e-09 1292156.50504
4.07380277804e-09 1284634.27154
4.12097519097e-09 1277205.42274
4.1686938347e-09 1269732.04683
4.21696503429e-09 1262816.11661
4.26579518802e-09 1255603.32298
4.31519076828e-09 1248189.79422
4.3651583224e-09 1241387.85522
4.41570447353e-09 1233730.40271
4.46683592151e-09 1226790.08598
4.51855944375e-09 1219921.40579
